x,y,z
1.5,0.7,0.00359344
-1.5,0.8,0.00255742
-1.4,0.8,0.00731065
-1.3,0.8,0.0189315
-1.2,0.8,0.0445328
-1.1,0.8,0.0954605
-1.0,0.8,0.187148
-0.9,0.8,0.336913
-0.8,0.8,0.559418
-0.7,0.8,0.860766
-0.6,0.8,1.23334
-0.5,0.8,1.65369
-0.4,0.8,2.08465
-0.3,0.8,2.48121
-0.2,0.8,2.79836
-0.1,0.8,2.99864
0.0,0.8,3.05801
0.1,0.8,2.96932
0.2,0.8,2.74324
0.3,0.8,2.40688
0.4,0.8,1.99972
0.5,0.8,1.56743
0.6,0.8,1.15403
0.7,0.8,0.794328
0.8,0.8,0.508634
0.9,0.8,0.301526
1.0,0.8,0.164715
1.1,0.8,0.0825564
1.2,0.8,0.0378143
1.3,0.8,0.0157731
1.4,0.8,0.00597303
1.5,0.8,0.00204799
-1.5,0.9,0.00134624
-1.4,0.9,0.00391121
-1.3,0.9,0.0103005
-1.2,0.9,0.0246557
-1.1,0.9,0.0538036
-1.0,0.9,0.107407
-0.9,0.9,0.196892
-0.8,0.9,0.332802
-0.7,0.9,0.520945
-0.6,0.9,0.75856
-0.5,0.9,1.03207
-0.4,0.9,1.31762
-0.3,0.9,1.58449
-0.2,0.9,1.80056
-0.1,0.9,1.93816
0.0,0.9,1.97912
0.1,0.9,1.91796
0.2,0.9,1.76285
0.3,0.9,1.53418
0.4,0.9,1.26096
0.5,0.9,0.975513
0.6,0.9,0.70757
0.7,0.9,0.479122
0.8,0.9,0.301526
0.9,0.9,0.175577
1.0,0.9,0.0941901
1.1,0.9,0.0463635
1.2,0.9,0.0208623
1.3,0.9,0.00855278
1.4,0.9,0.00318507
1.5,0.9,0.00107467
-1.5,1.0,0.000650961
-1.4,1.0,0.00192341
-1.3,1.0,0.00515472
-1.2,1.0,0.0125622
-1.1,1.0,0.0279201
-1.0,1.0,0.0567763
-0.9,1.0,0.106012
-0.8,1.0,0.182449
-0.7,1.0,0.290575
-0.6,1.0,0.430006
-0.5,1.0,0.593661
-0.4,1.0,0.767541
-0.3,1.0,0.932499
-0.2,1.0,1.06763
-0.1,1.0,1.15437
0.0,1.0,1.18029
0.1,1.0,1.14161
0.2,1.0,1.04395
0.3,1.0,0.901232
0.4,1.0,0.732815
0.5,1.0,0.559573
0.6,1.0,0.399851
0.7,1.0,0.266344
0.8,1.0,0.164715
0.9,1.0,0.0941901
1.0,1.0,0.0496059
1.1,1.0,0.0239708
1.2,1.0,0.010591
1.3,1.0,0.00426499
1.4,1.0,0.00156096
1.5,1.0,0.000517938
-1.5,1.1,0.000288415
-1.4,1.1,0.000867061
-1.3,1.1,0.00236552
-1.2,1.1,0.00587102
-1.1,1.1,0.0132925
-1.0,1.1,0.0275378
-0.9,1.1,0.0523739
-0.8,1.1,0.0917684
-0.7,1.1,0.148679
-0.6,1.1,0.223559
-0.5,1.1,0.313107
-0.4,1.1,0.409853
-0.3,1.1,0.502943
-0.2,1.1,0.580049
-0.1,1.1,0.62992
0.0,1.1,0.644877
0.1,1.1,0.622562
0.2,1.1,0.566484
0.3,1.1,0.485208
0.4,1.1,0.390413
0.5,1.1,0.294325
0.6,1.1,0.207244
0.7,1.1,0.135826
0.8,1.1,0.0825564
0.9,1.1,0.0463635
1.0,1.1,0.0239708
1.1,1.1,0.0113699
1.2,1.1,0.0049316
1.3,1.1,0.00195018
1.4,1.1,0.000701209
1.5,1.1,0.000228702
-1.5,1.2,0.000116806
-1.4,1.2,0.000357361
-1.3,1.2,0.000992634
-1.2,1.2,0.00250914
-1.1,1.2,0.00578687
-1.0,1.2,0.0122118
-0.9,1.2,0.0236519
-0.8,1.2,0.0421798
-0.7,1.2,0.0694931
-0.6,1.2,0.106128
-0.5,1.2,0.150723
-0.4,1.2,0.199669
-0.3,1.2,0.247395
-0.2,1.2,0.287337
-0.1,1.2,0.313352
0.0,1.2,0.321181
0.1,1.2,0.309506
0.2,1.2,0.280285
0.3,1.2,0.238259
0.4,1.2,0.189777
0.5,1.2,0.141309
0.6,1.2,0.0980889
0.7,1.2,0.0632786
0.8,1.2,0.0378143
0.9,1.2,0.0208623
1.0,1.2,0.010591
1.1,1.2,0.0049316
1.2,1.2,0.00209991
1.3,1.2,0.000815384
1.4,1.2,0.000287982
1.5,1.2,9.23044e-05
-1.5,1.3,4.31429e-05
-1.4,1.3,0.000134331
-1.3,1.3,0.000379877
-1.2,1.3,0.000977845
-1.1,1.3,0.00229675
-1.0,1.3,0.00493546
-0.9,1.3,0.00973056
-0.8,1.3,0.0176535
-0.7,1.3,0.0295609
-0.6,1.3,0.045826
-0.5,1.3,0.0659591
-0.4,1.3,0.0883851
-0.3,1.3,0.110525
-0.2,1.3,0.129232
-0.1,1.3,0.141496
0.0,1.3,0.145198
0.1,1.3,0.139679
0.2,1.3,0.125918
0.3,1.3,0.106268
0.4,1.3,0.0838284
0.5,1.3,0.0616826
0.6,1.3,0.0422329
0.7,1.3,0.0268325
0.8,1.3,0.0157731
0.9,1.3,0.00855278
1.0,1.3,0.00426499
1.1,1.3,0.00195018
1.2,1.3,0.000815384
1.3,1.3,0.00031092
1.4,1.3,0.000107869
1.5,1.3,3.39753e-05
-1.5,1.4,1.4502e-05
-1.4,1.4,4.59483e-05
-1.3,1.4,0.000132262
-1.2,1.4,0.0003466
-1.1,1.4,0.000828774
-1.0,1.4,0.0018127
-0.9,1.4,0.00363604
-0.8,1.4,0.00670681
-0.7,1.4,0.0114072
-0.6,1.4,0.0179391
-0.5,1.4,0.0261521
-0.4,1.4,0.0354272
-0.3,1.4,0.0446899
-0.2,1.4,0.0525864
-0.1,1.4,0.0577941
0.0,1.4,0.0593706
0.1,1.4,0.057021
0.2,1.4,0.0511833
0.3,1.4,0.0429016
0.4,1.4,0.0335332
0.5,1.4,0.0243976
0.6,1.4,0.0164871
0.7,1.4,0.0103231
0.8,1.4,0.00597303
0.9,1.4,0.00318507
1.0,1.4,0.00156096
1.1,1.4,0.000701209
1.2,1.4,0.000287982
1.3,1.4,0.000107869
1.4,1.4,3.67674e-05
1.5,1.4,1.13812e-05
-1.5,1.5,4.42776e-06
-1.4,1.5,1.42724e-05
-1.3,1.5,4.18043e-05
-1.2,1.5,0.000111481
-1.1,1.5,0.000271245
-1.0,1.5,0.00060351
-0.9,1.5,0.00123086
-0.8,1.5,0.00230674
-0.7,1.5,0.00398233
-0.6,1.5,0.00634867
-0.5,1.5,0.00936791
-0.4,1.5,0.0128216
-0.3,1.5,0.0163076
-0.2,1.5,0.0193038
-0.1,1.5,0.0212908
